Unnamed: 0,speaker_path,listener_path_pos,listener_path_neg
112,UDIVA/talk/009106/FC1/10,UDIVA/talk/009106/FC2/10,NoXI/007_2016-03-21_Paris/Novice_video/1
113,UDIVA/talk/009106/FC1/13,UDIVA/talk/009106/FC2/13,UDIVA/animal/106108/FC2/16
114,UDIVA/talk/009106/FC1/14,UDIVA/talk/009106/FC2/14,UDIVA/animal/106108/FC2/6
115,UDIVA/talk/009106/FC1/15,UDIVA/talk/009106/FC2/15,NoXI/007_2016-03-21_Paris/Novice_video/59
116,UDIVA/talk/009106/FC1/16,UDIVA/talk/009106/FC2/16,UDIVA/animal/106148/FC2/2
117,UDIVA/talk/009106/FC1/17,UDIVA/talk/009106/FC2/17,UDIVA/animal/123188/FC2/13
118,UDIVA/talk/009106/FC1/18,UDIVA/talk/009106/FC2/18,UDIVA/animal/144176/FC2/39
119,UDIVA/talk/009106/FC1/19,UDIVA/talk/009106/FC2/19,UDIVA/animal/055128/FC2/2
120,UDIVA/talk/009106/FC1/21,UDIVA/talk/009106/FC2/21,UDIVA/animal/055128/FC2/5
121,UDIVA/talk/106148/FC1/1,UDIVA/talk/106148/FC2/1,UDIVA/animal/055128/FC2/17
122,UDIVA/talk/106148/FC1/2,UDIVA/talk/106148/FC2/2,NoXI/007_2016-03-21_Paris/Novice_video/48
123,UDIVA/talk/106148/FC1/3,UDIVA/talk/106148/FC2/3,NoXI/007_2016-03-21_Paris/Novice_video/72
124,UDIVA/talk/106148/FC1/4,UDIVA/talk/106148/FC2/4,UDIVA/talk/106148/FC2/2
125,UDIVA/talk/106148/FC1/5,UDIVA/talk/106148/FC2/5,UDIVA/animal/106108/FC2/19
126,UDIVA/talk/106148/FC1/8,UDIVA/talk/106148/FC2/8,UDIVA/animal/106108/FC2/20
127,UDIVA/talk/106148/FC1/9,UDIVA/talk/106148/FC2/9,UDIVA/talk/144176/FC2/8
128,UDIVA/talk/106148/FC1/10,UDIVA/talk/106148/FC2/10,NoXI/007_2016-03-21_Paris/Novice_video/43
129,UDIVA/talk/106148/FC1/13,UDIVA/talk/106148/FC2/13,UDIVA/animal/106108/FC2/13
130,UDIVA/talk/106148/FC1/14,UDIVA/talk/106148/FC2/14,UDIVA/animal/106108/FC2/11
131,UDIVA/talk/106148/FC1/15,UDIVA/talk/106148/FC2/15,NoXI/015_2016-04-05_Paris/Novice_video/6
132,UDIVA/talk/106148/FC1/16,UDIVA/talk/106148/FC2/16,NoXI/007_2016-03-21_Paris/Novice_video/64
133,UDIVA/talk/106148/FC1/17,UDIVA/talk/106148/FC2/17,UDIVA/animal/106148/FC2/6
134,UDIVA/talk/106148/FC1/18,UDIVA/talk/106148/FC2/18,UDIVA/talk/144176/FC2/7
135,UDIVA/talk/106148/FC1/19,UDIVA/talk/106148/FC2/19,UDIVA/talk/009106/FC2/13
136,UDIVA/talk/106148/FC1/20,UDIVA/talk/106148/FC2/20,NoXI/007_2016-03-21_Paris/Novice_video/47
137,UDIVA/ghost/009106/FC1/1,UDIVA/ghost/009106/FC2/1,UDIVA/animal/106148/FC2/17
138,UDIVA/ghost/009106/FC1/2,UDIVA/ghost/009106/FC2/2,UDIVA/animal/144176/FC2/20
139,UDIVA/ghost/009106/FC1/3,UDIVA/ghost/009106/FC2/3,NoXI/007_2016-03-21_Paris/Novice_video/17
140,UDIVA/ghost/009106/FC1/9,UDIVA/ghost/009106/FC2/9,UDIVA/talk/009106/FC2/6
141,UDIVA/ghost/106108/FC1/12,UDIVA/ghost/106108/FC2/12,UDIVA/animal/144176/FC2/41
142,UDIVA/ghost/106148/FC1/14,UDIVA/ghost/106148/FC2/14,UDIVA/animal/144176/FC2/1
143,UDIVA/animal/106108/FC1/1,UDIVA/animal/106108/FC2/1,UDIVA/talk/144176/FC2/12
144,UDIVA/animal/106108/FC1/2,UDIVA/animal/106108/FC2/2,NoXI/007_2016-03-21_Paris/Novice_video/60
145,UDIVA/animal/106108/FC1/3,UDIVA/animal/106108/FC2/3,NoXI/058_2016-04-14_Nottingham/Novice_video/16
146,UDIVA/animal/106108/FC1/6,UDIVA/animal/106108/FC2/6,UDIVA/talk/106148/FC2/4
147,UDIVA/animal/106108/FC1/7,UDIVA/animal/106108/FC2/7,NoXI/007_2016-03-21_Paris/Novice_video/63
148,UDIVA/animal/106108/FC1/8,UDIVA/animal/106108/FC2/8,UDIVA/animal/144176/FC2/36
149,UDIVA/animal/106108/FC1/9,UDIVA/animal/106108/FC2/9,UDIVA/talk/009106/FC2/9
150,UDIVA/animal/106108/FC1/10,UDIVA/animal/106108/FC2/10,UDIVA/animal/055128/FC2/6
151,UDIVA/animal/106108/FC1/11,UDIVA/animal/106108/FC2/11,UDIVA/animal/106108/FC2/19
152,UDIVA/animal/106108/FC1/12,UDIVA/animal/106108/FC2/12,UDIVA/animal/042092/FC2/21
153,UDIVA/animal/106108/FC1/13,UDIVA/animal/106108/FC2/13,UDIVA/talk/106148/FC2/18
154,UDIVA/animal/106108/FC1/14,UDIVA/animal/106108/FC2/14,UDIVA/animal/144176/FC2/6
155,UDIVA/animal/106108/FC1/15,UDIVA/animal/106108/FC2/15,UDIVA/animal/144176/FC2/18
156,UDIVA/animal/106108/FC1/16,UDIVA/animal/106108/FC2/16,UDIVA/animal/144176/FC2/33
157,UDIVA/animal/106108/FC1/17,UDIVA/animal/106108/FC2/17,UDIVA/talk/144176/FC2/13
158,UDIVA/animal/106108/FC1/18,UDIVA/animal/106108/FC2/18,UDIVA/animal/040090/FC2/23
159,UDIVA/animal/106108/FC1/19,UDIVA/animal/106108/FC2/19,UDIVA/talk/106148/FC2/17
160,UDIVA/animal/106108/FC1/20,UDIVA/animal/106108/FC2/20,UDIVA/talk/009106/FC2/16
161,UDIVA/animal/106108/FC1/21,UDIVA/animal/106108/FC2/21,NoXI/011_2016-03-25_Paris/Novice_video/29
162,UDIVA/animal/106108/FC1/22,UDIVA/animal/106108/FC2/22,NoXI/007_2016-03-21_Paris/Novice_video/29
163,UDIVA/animal/009106/FC1/29,UDIVA/animal/009106/FC2/29,UDIVA/animal/144176/FC2/48
164,UDIVA/animal/009106/FC1/30,UDIVA/animal/009106/FC2/30,UDIVA/animal/106108/FC2/16
165,UDIVA/animal/009106/FC1/31,UDIVA/animal/009106/FC2/31,UDIVA/animal/144176/FC2/20
166,UDIVA/animal/009106/FC1/32,UDIVA/animal/009106/FC2/32,UDIVA/animal/106108/FC2/8
167,UDIVA/animal/009106/FC1/33,UDIVA/animal/009106/FC2/33,UDIVA/talk/009106/FC2/10
168,UDIVA/animal/009106/FC1/34,UDIVA/animal/009106/FC2/34,NoXI/007_2016-03-21_Paris/Novice_video/42
169,UDIVA/animal/009106/FC1/37,UDIVA/animal/009106/FC2/37,NoXI/058_2016-04-14_Nottingham/Novice_video/26
170,UDIVA/animal/009106/FC1/40,UDIVA/animal/009106/FC2/40,UDIVA/talk/009106/FC2/10
171,UDIVA/animal/009106/FC1/41,UDIVA/animal/009106/FC2/41,UDIVA/talk/144176/FC2/11
172,UDIVA/animal/106148/FC1/1,UDIVA/animal/106148/FC2/1,UDIVA/animal/123188/FC2/21
173,UDIVA/animal/106148/FC1/2,UDIVA/animal/106148/FC2/2,UDIVA/animal/106108/FC2/22
174,UDIVA/animal/106148/FC1/3,UDIVA/animal/106148/FC2/3,NoXI/007_2016-03-21_Paris/Novice_video/30
175,UDIVA/animal/106148/FC1/6,UDIVA/animal/106148/FC2/6,NoXI/007_2016-03-21_Paris/Novice_video/40
176,UDIVA/animal/106148/FC1/7,UDIVA/animal/106148/FC2/7,UDIVA/animal/106108/FC2/21
177,UDIVA/animal/106148/FC1/10,UDIVA/animal/106148/FC2/10,NoXI/007_2016-03-21_Paris/Novice_video/8
178,UDIVA/animal/106148/FC1/13,UDIVA/animal/106148/FC2/13,UDIVA/animal/144176/FC2/44
179,UDIVA/animal/106148/FC1/14,UDIVA/animal/106148/FC2/14,UDIVA/talk/106148/FC2/2
180,UDIVA/animal/106148/FC1/17,UDIVA/animal/106148/FC2/17,UDIVA/animal/144176/FC2/19
181,UDIVA/animal/106148/FC1/18,UDIVA/animal/106148/FC2/18,NoXI/007_2016-03-21_Paris/Novice_video/72
182,UDIVA/talk/144171/FC1/1,UDIVA/talk/144171/FC2/1,UDIVA/talk/009106/FC2/10
183,UDIVA/talk/144171/FC1/4,UDIVA/talk/144171/FC2/4,NoXI/007_2016-03-21_Paris/Novice_video/12
184,UDIVA/talk/144171/FC1/5,UDIVA/talk/144171/FC2/5,UDIVA/animal/144176/FC2/38
185,UDIVA/talk/144171/FC1/6,UDIVA/talk/144171/FC2/6,UDIVA/talk/009106/FC2/21
186,UDIVA/talk/144171/FC1/7,UDIVA/talk/144171/FC2/7,UDIVA/animal/144176/FC2/8
187,UDIVA/talk/144171/FC1/8,UDIVA/talk/144171/FC2/8,NoXI/015_2016-04-05_Paris/Novice_video/5
188,UDIVA/talk/144171/FC1/9,UDIVA/talk/144171/FC2/9,UDIVA/animal/144176/FC2/41
189,UDIVA/talk/144171/FC1/10,UDIVA/talk/144171/FC2/10,UDIVA/animal/144176/FC2/34
190,UDIVA/talk/144171/FC1/11,UDIVA/talk/144171/FC2/11,NoXI/010_2016-03-25_Paris/Novice_video/15
191,UDIVA/talk/144171/FC1/14,UDIVA/talk/144171/FC2/14,UDIVA/animal/106108/FC2/1
192,UDIVA/talk/144171/FC1/15,UDIVA/talk/144171/FC2/15,UDIVA/animal/123188/FC2/29
193,UDIVA/talk/144171/FC1/16,UDIVA/talk/144171/FC2/16,NoXI/050_2016-04-12_Nottingham/Novice_video/40
194,UDIVA/talk/144171/FC1/17,UDIVA/talk/144171/FC2/17,UDIVA/animal/106108/FC2/16
195,UDIVA/talk/144171/FC1/18,UDIVA/talk/144171/FC2/18,UDIVA/animal/106108/FC2/11
196,UDIVA/talk/144171/FC1/21,UDIVA/talk/144171/FC2/21,UDIVA/animal/144176/FC2/34
197,UDIVA/talk/122144/FC1/4,UDIVA/talk/122144/FC2/4,NoXI/015_2016-04-05_Paris/Novice_video/12
198,UDIVA/talk/144169/FC1/2,UDIVA/talk/144169/FC2/2,NoXI/007_2016-03-21_Paris/Novice_video/69
199,UDIVA/talk/144169/FC1/3,UDIVA/talk/144169/FC2/3,UDIVA/talk/144176/FC2/14
200,UDIVA/talk/144169/FC1/4,UDIVA/talk/144169/FC2/4,NoXI/007_2016-03-21_Paris/Novice_video/13
201,UDIVA/talk/144169/FC1/5,UDIVA/talk/144169/FC2/5,UDIVA/talk/106148/FC2/1
202,UDIVA/talk/144169/FC1/6,UDIVA/talk/144169/FC2/6,UDIVA/talk/144176/FC2/20
203,UDIVA/talk/144169/FC1/7,UDIVA/talk/144169/FC2/7,UDIVA/animal/106108/FC2/8
204,UDIVA/talk/144169/FC1/8,UDIVA/talk/144169/FC2/8,UDIVA/talk/009106/FC2/6
205,UDIVA/talk/144169/FC1/9,UDIVA/talk/144169/FC2/9,UDIVA/animal/144176/FC2/24
206,UDIVA/talk/144169/FC1/10,UDIVA/talk/144169/FC2/10,UDIVA/animal/106108/FC2/11
207,UDIVA/talk/144169/FC1/11,UDIVA/talk/144169/FC2/11,UDIVA/animal/144176/FC2/19
208,UDIVA/talk/144169/FC1/12,UDIVA/talk/144169/FC2/12,UDIVA/animal/144176/FC2/2
209,UDIVA/talk/144169/FC1/13,UDIVA/talk/144169/FC2/13,UDIVA/animal/027118/FC2/11
210,UDIVA/talk/144169/FC1/14,UDIVA/talk/144169/FC2/14,NoXI/007_2016-03-21_Paris/Novice_video/49
211,UDIVA/talk/144169/FC1/15,UDIVA/talk/144169/FC2/15,NoXI/007_2016-03-21_Paris/Novice_video/28
212,UDIVA/talk/144169/FC1/16,UDIVA/talk/144169/FC2/16,UDIVA/animal/106108/FC2/20
213,UDIVA/talk/144169/FC1/17,UDIVA/talk/144169/FC2/17,NoXI/007_2016-03-21_Paris/Novice_video/29
214,UDIVA/talk/144169/FC1/18,UDIVA/talk/144169/FC2/18,UDIVA/talk/009106/FC2/5
215,UDIVA/talk/144169/FC1/19,UDIVA/talk/144169/FC2/19,UDIVA/talk/144169/FC2/12
216,UDIVA/talk/144169/FC1/20,UDIVA/talk/144169/FC2/20,UDIVA/talk/144169/FC2/12
217,UDIVA/ghost/144171/FC1/3,UDIVA/ghost/144171/FC2/3,UDIVA/animal/027118/FC2/21
218,UDIVA/ghost/144171/FC1/9,UDIVA/ghost/144171/FC2/9,NoXI/007_2016-03-21_Paris/Novice_video/2
219,UDIVA/ghost/144171/FC1/10,UDIVA/ghost/144171/FC2/10,UDIVA/animal/051076/FC2/67
220,UDIVA/ghost/144171/FC1/11,UDIVA/ghost/144171/FC2/11,NoXI/007_2016-03-21_Paris/Novice_video/3
221,UDIVA/ghost/144171/FC1/12,UDIVA/ghost/144171/FC2/12,UDIVA/talk/009106/FC2/6
222,UDIVA/ghost/144171/FC1/13,UDIVA/ghost/144171/FC2/13,UDIVA/talk/009106/FC2/7
223,UDIVA/ghost/144171/FC1/14,UDIVA/ghost/144171/FC2/14,NoXI/007_2016-03-21_Paris/Novice_video/10
224,UDIVA/ghost/144169/FC1/3,UDIVA/ghost/144169/FC2/3,UDIVA/animal/106108/FC2/19
225,UDIVA/ghost/144169/FC1/4,UDIVA/ghost/144169/FC2/4,UDIVA/talk/106148/FC2/3
226,UDIVA/ghost/144169/FC1/7,UDIVA/ghost/144169/FC2/7,UDIVA/animal/144176/FC2/26
227,UDIVA/ghost/144169/FC1/8,UDIVA/ghost/144169/FC2/8,UDIVA/talk/009106/FC2/8
228,UDIVA/ghost/144169/FC1/9,UDIVA/ghost/144169/FC2/9,UDIVA/talk/009106/FC2/10
229,UDIVA/ghost/144169/FC1/10,UDIVA/ghost/144169/FC2/10,UDIVA/animal/106108/FC2/11
230,UDIVA/ghost/144169/FC1/11,UDIVA/ghost/144169/FC2/11,UDIVA/animal/123188/FC2/31
231,UDIVA/ghost/144169/FC1/12,UDIVA/ghost/144169/FC2/12,UDIVA/animal/144176/FC2/25
232,UDIVA/animal/144171/FC1/1,UDIVA/animal/144171/FC2/1,UDIVA/animal/106108/FC2/9
233,UDIVA/animal/144171/FC1/2,UDIVA/animal/144171/FC2/2,UDIVA/animal/144176/FC2/39
234,UDIVA/animal/144171/FC1/3,UDIVA/animal/144171/FC2/3,NoXI/007_2016-03-21_Paris/Novice_video/2
235,UDIVA/animal/144171/FC1/4,UDIVA/animal/144171/FC2/4,UDIVA/talk/144169/FC2/18
236,UDIVA/animal/144171/FC1/7,UDIVA/animal/144171/FC2/7,NoXI/058_2016-04-14_Nottingham/Novice_video/17
237,UDIVA/animal/144171/FC1/8,UDIVA/animal/144171/FC2/8,UDIVA/talk/009106/FC2/21
